Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:20:29	1.76	1.76	1530714029.5	37.46394	-122.1168	0.33	89.99	375	69	548	331	07:20:37	2.987903e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:22:36	2.65	2.66	1530714156.9	37.472782	-122.104618	-0.90	81.08	775	83	179	119	07:22:49	3.583271e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:23:42	3.27	3.27	1530714222.7	37.452611	-122.084195	0.22	90.00	470	72	-295	145	07:23:58	1.169235e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:25:11	1.91	1.91	1530714312.0	37.449906	-122.108933	0.20	90.00	36	64	-354	287	07:25:20	2.302498e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:27:28	1.85	1.85	1530714448.3	37.463286	-122.114291	0.00	90.00	275	23	256	97	07:27:36	7.249079e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:27:46	1.88	1.88	1530714466.0	37.4685	-122.118471	-0.53	83.37	525	34	670	336	07:27:54	4.650780e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:28:58	2.75	2.76	1530714538.2	37.482	-122.113515	-0.00	89.97	800	51	128	87	07:29:11	4.737511e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:29:40	2.90	2.90	1530714580.8	37.461098	-122.092677	-1.94	83.80	700	94	372	132	07:29:54	1.894658e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:31:33	0.76	0.76	1530714693.4	37.46114	-122.145145	-0.42	62.43	71	166	-71	209	07:31:36	1.574807e+07
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:34:27	1.78	1.78	1530714867.5	37.467289	-122.119486	-1.63	69.94	425	74	1000	335	07:34:35	2.660920e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:35:45	2.76	2.76	1530714945.9	37.479812	-122.109992	0.00	90.00	750	45	64	86	07:35:58	5.291855e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:36:06	2.69	2.69	1530714966.6	37.470781	-122.10211	-0.71	85.27	700	62	-105	128	07:36:19	4.395177e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:39:32	1.62	1.62	1530715172.5	37.459246	-122.116486	0.36	89.99	286	69	320	292	07:39:40	4.061844e+06
