Closest approaches at NARWL (lat: 37.274781, long: -122.079306, elevation: 778.0), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
NARWL	37.5	32.0	38.2	37.0	39.7	9.2	5.2	3.4	2.6	2.1	1.8	0.7	0.4	0.2	0.2	0.2	0.2	10.0	5.6	4.1	3.0	2.2	2.1	12.7	7.1	4.6	3.7	3.1	2.5	13.3	7.5	4.8	3.7	2.9	2.3
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: ~2b0afa (0)	Flight ID: Other	07/04/18 11:41:51	4.95	4.96	1530729711.0	37.302075	-121.996069	-0.82	87.22	2500	122	0	341	11:42:14	2.603163e+03
ICAO: a5aa3a (1)	Flight ID: UALB148	07/04/18 14:30:28	0.35	1.24	1530739828.8	37.27959	-122.081153	-0.48	76.21	7050	291	-1519	344	14:30:34	2.438581e+06
ICAO: a7687b (0)	Flight ID: Other	07/04/18 11:51:41	0.36	1.20	1530730301.8	37.279833	-122.07789	0.12	90.08	6844	262	-1434	110	11:51:47	2.963177e+06
ICAO: a1cd4e (0)	Flight ID: CPZ6081	07/04/18 11:47:31	4.92	5.15	1530730051.3	37.207397	-122.108537	0.00	90.00	8650	276	-1472	288	11:47:55	8.063586e+02
ICAO: ~2b09af (0)	Flight ID: Other	07/04/18 12:06:33	0.48	0.80	1530731193.5	37.270172	-122.085724	0.31	90.00	4175	70	0	136	12:06:37	3.292318e+07
ICAO: a0dab2 (2)	Flight ID: SKW5383	07/04/18 16:00:51	0.34	1.39	1530745251.3	37.279495	-122.081247	-0.32	80.37	7875	248	-1154	343	16:00:57	1.985921e+06
ICAO: a026d8 (0)	Flight ID: N109HF	07/04/18 12:03:52	2.93	2.95	1530731033.0	37.287928	-122.028533	0.17	90.00	2100	137	287	163	12:04:06	1.192949e+05
ICAO: aa6fa4 (0)	Flight ID: Other	07/04/18 12:04:29	0.34	0.83	1530731069.3	37.279311	-122.08169	-0.19	76.42	4800	224	-1294	89	12:04:33	9.346645e+06
ICAO: ~2b050e (0)	Flight ID: Other	07/04/18 12:04:10	1.50	1.74	1530731050.6	37.292486	-122.095184	-0.22	83.59	5450	277	-1294	46	12:04:18	7.694622e+05
ICAO: a80909 (0)	Flight ID: Other	07/04/18 12:18:10	4.61	4.65	1530731890.3	37.311037	-122.008888	-0.04	89.70	3860	237	-632	321	12:18:32	2.429570e+03
ICAO: a02b5c (0)	Flight ID: N11RL	07/04/18 12:23:22	3.32	3.36	1530732202.4	37.32165	-122.092745	0.10	90.00	3600	162	-37	258	12:23:38	4.349851e+04
ICAO: 781003 (0)	Flight ID: CHH7989	07/04/18 12:44:33	4.71	4.86	1530733473.1	37.240673	-122.153579	-0.24	87.97	7100	213	-1103	153	12:44:55	1.780771e+03
ICAO: 781003 (0)	Flight ID: CHH7989	07/04/18 12:50:55	4.75	4.79	1530733855.2	37.303829	-122.000924	0.15	90.08	3924	209	-1069	336	12:51:17	2.098850e+03
ICAO: a01ed0 (0)	Flight ID: N107BB	07/04/18 12:50:53	4.84	4.84	1530733853.5	37.334015	-122.032393	-2.14	77.41	1425	155	-137	292	12:51:16	2.575908e+03
ICAO: abc3c6 (0)	Flight ID: SWA962	07/04/18 12:49:37	4.65	4.70	1530733777.2	37.314461	-122.010915	0.34	90.09	4282	220	-1110	325	12:49:59	2.372006e+03
ICAO: a50f4b (0)	Flight ID: N425MF	07/04/18 12:57:28	4.92	4.94	1530734248.2	37.329495	-122.136622	0.00	90.00	3100	168	-1664	93	12:57:51	1.960667e+03
ICAO: aadb19 (1)	Flight ID: Other	07/04/18 17:48:35	2.22	2.61	1530751715.7	37.245748	-122.096468	-0.30	86.57	8100	227	-1024	321	17:48:47	1.424894e+05
ICAO: aadb19 (1)	Flight ID: Other	07/04/18 17:49:25	4.20	4.35	1530751765.0	37.267041	-122.155065	-0.34	87.52	6738	233	-637	296	17:49:45	4.380771e+03
ICAO: aaa5ff (0)	Flight ID: SWA6545	07/04/18 13:24:46	0.06	1.35	1530735886.4	37.275628	-122.079799	0.42	90.27	7887	278	-1425	344	13:24:52	1.949323e+06
ICAO: a5320b (0)	Flight ID: ASA304	07/04/18 13:32:28	2.91	3.11	1530736348.9	37.247997	-122.120235	0.40	90.11	6515	218	-922	141	13:32:43	5.381358e+04
ICAO: a5320b (0)	Flight ID: ASA304	07/04/18 13:32:58	2.91	3.08	1530736378.1	37.233408	-122.089178	0.34	90.13	6041	221	-1024	102	13:33:12	5.692768e+04
ICAO: 3c64f6 (0)	Flight ID: DLH488	07/04/18 13:43:07	1.13	1.50	1530736987.5	37.258741	-122.082974	0.14	90.22	5998	274	-1254	103	13:43:14	1.375515e+06
